"ID_R","ID_C","supid","yr","n","latn","lonn","demn","ban","arean","duran","mortn","m0.fitted.n","sp.fitted.n"
12,5,0,7,2072,36.109375,-121.609375,217.94,51.23,0.144305019305019,41,0.0685328185328185,-1.59784463971305,-1.37944983172595
13,6,0,7,44625,35.8065010504202,-121.202828781513,670.495658487395,25.3289875630252,0.102296918767507,29.7536134453782,0.00815686274509804,-1.76312863335001,-1.52675842526161
1,7,0,7,13539,41.8134059476328,-120.652269600783,1533.05345520349,20.6794763276461,0.08021271881232,11,0.00132949257699978,-2.17773805605644,-2.37237924469275
5,8,0,7,72418,39.7782832824712,-120.29513682717,1789.44638984783,21.1321813637493,0.1025573752382,17.83058079483,0.00113231517026154,-1.91693251640332,-1.8081281931299
6,8,0,7,139823,39.3088942135772,-120.296850415347,2196.09990666772,35.3140032755698,0.0811096886778284,13.1472289966601,0.0128734185362923,-2.0536075566364,-2.25523352464489
6,9,0,7,40876,39.2421240458949,-119.818042677855,2394.16710147764,0,0.062065759859086,12.92692533516,0.00320481456111165,-2.27199850297659,-2.05243969979639
7,9,0,7,109439,38.7749718164914,-119.77743665992,2174.56207503724,16.0556824349638,0.0908908158883031,16.9921874286132,0.0205137108343461,-2.01203849434401,-1.89045515718698
8,9,0,7,53009,38.2984018633628,-119.798687192269,2281.83747608897,36.5177686807901,0.0648569110905695,13.2748589862099,0.00482936859778528,-2.04718389716742,-1.84592805377296
10,10,0,7,112188,37.3219166711235,-119.319905538025,2140.09882750383,35.9255563874924,0.09123970478126,19.7691553463829,0.0278817698862623,-1.8159711433749,-1.6859916626004
10,11,0,7,34739,37.2253289710412,-118.828778983995,2859.44278275137,42.1646886784306,0.050634733296871,25.8506289760788,0.0157747776274504,-1.5954415487876,-1.35976995092094
11,11,0,7,96682,36.846524883122,-118.782314378581,2299.68135940506,54.1244319521731,0.0702612689021741,13.8986471111479,0.0575908648972922,-1.96132823007075,-1.77842694036301
13,12,0,7,42551,35.7714980993396,-118.15518179655,2164.35331672581,22.4405041009612,0.173109915160631,34.0297525322554,0.00274964160654274,-1.36236073128768,-1.29017163389929
7,2,0,8,136617,38.7954435346626,-123.303358911226,368.052563370591,38.29416712415,0.0929020546491286,19.797572776448,0.00409905063059502,-1.97850450133752,-2.00536813274812
2,3,0,8,46381,41.2678585385179,-122.925773417455,1614.1243601906,28.3538123369483,0.106832539186305,12.1408982126302,0.0100687781634721,-2.09283089005785,-2.45990180808628
3,3,0,8,51436,40.7251548040283,-122.780109018975,1594.46597052648,35.5196477175519,0.0506843455945252,13.4177035539311,0.0140951862508749,-2.18560072201827,-2.49293146558302
8,3,0,8,56795,38.3108892178009,-122.818165386478,135.05872259882,43.9142466766441,0.103952812747601,19.2913460691962,0.0194735452064442,-1.76049564613166,-1.39390942692554
3,4,0,8,96606,40.8273557672401,-122.315447862969,695.127971658075,31.3763316978241,0.114206156967476,15.8407345299464,0.0030536405606277,-2.34306666980669,-2.64247696170761
8,4,0,8,4934,38.1689615423591,-122.484375,390.33197405756,26.3571949736522,0.114511552492906,30.0413457640859,0.00608025942440211,-1.7730098812382,-2.17253569621535
9,4,0,8,2403,37.984375,-122.484375,39.9,13.82,0.0873907615480649,14,0.00124843945068664,-2.22626916151742,-2.15524735538538
2,5,0,8,135573,41.3226392561572,-121.79476313038,1673.40679582218,34.3643265989541,0.0959851887912785,13.4116601388182,0.0131589623302575,-2.00082971028374,-2.38780004304154
12,5,0,8,6917,36.2839268288275,-121.609375,324.864983374295,33.2500375885499,0.115946219459303,20.0985976579442,0.00997542287118693,-2.01972846782708,-2.0921570672218
4,6,0,8,169699,40.2782283815756,-121.276709515819,1992.69862845391,35.8979563815933,0.0644965497734224,18.1562413449696,0.00922810387804289,-1.80897939428094,-1.99690455852738
13,6,0,8,23076,35.8412880265211,-121.223524982666,694.751334286705,22.063940890969,0.110894435777431,16.8972092217022,0.00827699774657653,-2.08619077456638,-2.36345378479088
1,7,0,8,14994,41.8297131352541,-120.655376734027,1536.86564092304,20.6027017473656,0.136054421768707,16.3762171535281,0.00533546752034147,-1.99736762051796,-2.39920890439983
