"ID_R","ID_C","supid","yr","n","latn","lonn","demn","ban","arean","duran","mortn","m0.fitted.n","sp.fitted.n"
11,11,1,6,126754,36.8237124173596,-118.311456393881,2496.63055785222,43.4690823169288,0.0587200403932026,30.6357038042192,0.0951843728797513,-1.59772806699128,-1.6308946216618
13,12,1,6,109344,35.827482532192,-117.852115799678,2524.48292709248,34.8960705662862,0.103590503365525,33.3598094088382,0.0810561164764413,-1.4794051552144,-1.60753427347167
16,13,1,6,15254,34.1477501802806,-117.255418660679,1631.81745706044,12.5946709059919,0.140618854071063,29.6050871902452,0.00104890520519208,-1.75884061259203,-2.40894734633111
1,2,1,7,130832,41.7840608566712,-122.845309251559,1183.90308005687,43.6406875229302,0.0808364926011985,19.6043475602299,0.00337073498838205,-2.24548914174036,-2.53739092664576
7,2,1,7,99629,38.7725441073884,-122.793253439009,455.478190587078,32.3069076272973,0.140762227865381,20.1323811340072,0.0222425197482661,-2.07484696685885,-2.07926076838198
1,3,1,7,70498,41.758584906664,-122.301623361656,1117.62809398848,27.2871976509972,0.077463190445119,22.844307639933,0.00331924309909501,-2.20130188076744,-2.48458439784484
7,3,1,7,26140,38.8090641736802,-122.200714900536,682.132425401683,23.3463175210406,0.0944529456771232,14.1200076511094,0.00248661055853099,-2.31582164522077,-2.45493922021736
9,3,1,7,26582,37.9484766477315,-122.141121106388,172.782538936122,62.996628169438,0.0604168234143405,18.8003536227522,0.0294936423143481,-1.96785157753901,-1.75371905032536
9,4,1,7,20971,37.8276645427018,-121.649120362644,130.016626293453,18.8734385580087,0.109770635639693,12.9040579848362,0.0152591674216776,-2.1951593999537,-2.00330058383946
10,4,1,7,114049,37.2392774980491,-121.792112244518,349.680069005427,55.849758875571,0.176283877982271,19.9598856631799,0.119816920797201,-2.09019187405124,-1.51972377050617
2,5,1,7,151695,41.2938710282145,-121.315725736676,1553.99710662843,28.5674605623125,0.127519034905567,21.5587725369986,0.0172385378555654,-1.99485308930585,-2.03983040905812
12,5,1,7,17984,36.2369258785587,-121.279310776246,596.519117548932,25.062324844306,0.140625,14.1943394128114,0.0219083629893238,-2.18892187360959,-1.96755424925044
4,6,1,7,166439,40.2806787509238,-120.779715184692,1929.35065952091,37.2048314397467,0.0880562848851531,21.5211458852793,0.00750425080660182,-1.9945046534795,-2.05423686269938
3,7,1,7,62269,40.886900735117,-120.269438595047,1778.47281616856,19.9819814032665,0.1727504857955,17.2112929387014,0.0166696108818192,-2.19213682260338,-2.13397639412832
1,8,1,7,7264,41.6939702643172,-119.609375,1920.96279185022,38.6189675110132,0.114262114537445,22.348981277533,0.00371696035242291,-1.94996535334526,-2.30465926416837
2,8,1,7,72780,41.2684262503435,-119.723338314097,1945.09626930475,32.1969020335257,0.0816158285243199,28.9471832921132,0.0157323440505633,-1.6924282800059,-1.95504172853569
6,8,1,7,137703,39.3225620765343,-119.771545577257,2169.63721066353,33.9079771682534,0.0761493939856067,28.2152095451806,0.0170003558382897,-1.71805727819529,-1.92151146549798
8,8,1,7,14816,38.2227828023758,-119.809893021058,1433.47530102592,28.6081648218143,0.185475161987041,32.3309935205184,0.00323974082073434,-1.60036499630684,-2.10831590375207
8,9,1,7,6271,38.4162040543773,-119.133832821719,2596.90635943231,47.1014080688885,0.0586828257056291,18.6475841173656,0.00127571360229628,-1.92278125706116,-2.48984819691574
10,10,1,7,94988,37.3417069787763,-118.808340922011,1892.50929959574,33.3542927527688,0.0839263907019834,25.8928917336927,0.18002273971449,-1.80685399442411,-1.48840182809092
10,11,1,7,1720,37.484375,-118.109375,3361.3,18.13,0.011046511627907,21,0.0976744186046512,-2.10984498373486,-1.95301624144
11,11,1,7,117103,36.8298230243888,-118.318734495487,2515.23910787939,44.7409232043586,0.0788536587448656,23.6898456913999,0.0422021639069879,-1.87576175122825,-1.76130683149154
13,12,1,7,105453,35.8295169115625,-117.852299573033,2525.75933430059,34.8992803429016,0.126871686912653,28.5927379970224,0.0422463087821115,-1.67875089014206,-1.55511250333561
16,13,1,7,11833,34.109375,-117.244991496239,1713.62498352066,15.3029155750866,0.152708527000761,10.344206879067,0.0137750359165047,-2.17401654276676,-2.06027350086614
2,1,1,8,2586,41.109375,-123.109375,1149.52,32.91,0.0672853828306264,21,0.00116009280742459,-1.94116165423815,-2.58384640024801
1,2,1,8,29543,41.8892255568155,-122.775230701858,1400.55892224893,47.8524804522222,0.0580509765426666,19.9194056121585,0.00125241173882138,-1.96678607298277,-2.60443221368862
7,2,1,8,76573,38.7352777333394,-122.820598277134,432.590626722213,35.9796289814948,0.123764251106787,23.9091585807008,0.00383947344364201,-1.98316567584703,-2.28128616265852
7,3,1,8,15655,38.8978052139891,-122.212560883104,651.982007026509,24.2551146598531,0.0689875439156819,17.1365059086554,0.00325774512935164,-2.18722559805179,-2.59787759071793
9,3,1,8,25533,37.9471486654526,-122.141274894254,171.925179179885,63.0721975482709,0.0580425331923393,35.3867935612736,0.00748051541142835,-1.25334245821784,-1.61582140670178
10,4,1,8,101320,37.2416736577181,-121.799117893802,349.552174101856,56.0888851164627,0.148726806158705,40.0880675088827,0.0376431109356494,-1.38466142560593,-1.54866675632163
2,5,1,8,86664,41.3694310786486,-121.265037962707,1561.70014885073,26.4447798393797,0.1925482322533,25.2384957998708,0.00702713929659374,-1.85077232252756,-1.92378146417707
5,5,1,8,23346,39.7876228797224,-121.130583129872,619.499021673948,14.4058112738799,0.11252462948685,20.2808189839801,0.00141351837573888,-1.98247748829769,-2.60512183212109
12,5,1,8,65806,36.3712888072516,-121.278573097438,471.091055982737,22.4742686077257,0.112239005561803,23.5059113150777,0.0133726407926329,-1.96222528109997,-2.1557054995409
4,6,1,8,172483,40.2914980208194,-120.785876452317,1937.50964854507,37.0995371138025,0.135178539334311,29.6834064806387,0.0260199555898262,-1.64468200058098,-1.88602580013955
3,7,1,8,58146,40.8974601649297,-120.268061754033,1779.96605905823,20.3232213737832,0.156880954837822,27.140130017542,0.003611598390259,-1.80822435615591,-2.27957444611138
6,7,1,8,4783,39.1704245504913,-120.359375,1299.82951913025,39.1403491532511,0.183357725277023,25,0.00313610704578716,-1.84817280131495,-2.46522652947279
7,7,1,8,81045,38.7774745126165,-120.264113108458,787.825947189833,31.0864100191252,0.0953667715466716,18.6855450675551,0.00224566598803134,-2.14912920785494,-2.73082959079707
1,8,1,8,30386,41.70339033601,-119.639520461726,1860.16312643981,32.2406943987363,0.0831303889949319,22.8820509445139,0.00487066412163496,-1.92427837075093,-2.33619312826778
2,8,1,8,62539,41.2863565635044,-119.692671023281,1973.41513199763,33.2908012600138,0.104942515870097,30.9007339420202,0.00625209869041718,-1.6181802642704,-2.07672016796352
5,8,1,8,115441,39.8257008720905,-119.782567366663,1979.85085004461,19.8553664642545,0.0906177181417347,26.5904314758188,0.00439185384741989,-1.90647266836637,-2.23655778904895
6,8,1,8,128743,39.3187125950537,-119.772653780206,2171.42808207048,33.8051393085449,0.0597469376975836,36.0331979214404,0.010315123929068,-1.39282841729515,-1.8947853281346
8,8,1,8,19938,38.2902043208948,-119.831651557328,1403.41913883037,26.1962067408968,0.173939211555823,59.2270037115057,0.00892767579496439,-0.983868324678771,-1.53763331351915
7,9,1,8,7442,38.906002250739,-119.467309694974,1915.89665412524,0.622542327331362,0.100510615425961,28.6095135716205,0.00443429185702768,-1.89282915968822,-2.37831843574167
